0,1,2,3,4,5,6,7
CONTENDERS 125 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/22d4ccc0-fae1-427f-889a-aee72d2ecce8/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNjliMDkxYiIsImNpcGhlcnRleHQiOiJHTHNJc25wbmtpN1kwd0I3ZUR2ZitCTVhka1wvZE9OZFhhOGpoa20rbzhSS3pLV3ZVYXBCdkhUa09hdzhiXC8xMEciLCJpdiI6IjZjMzgyNzA5YjQ1NmUwM2MzYzA3Y2MwYjAwMGIwNDgzIiwic2FsdCI6ImZkMTliZTY2YWI0MWQwNjRmZWQ4MjY1Mzk4MmE2NDQwIn0=,Live Stream,r33rou,"November 24, 2021",None,2f72b89d2350029c91658d5369f22a95
CONTENDERS 124 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/96ad7c87-bf08-4d23-b456-7d2f38a32201/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNmM5OTBkOSIsImNpcGhlcnRleHQiOiJrdFhGb2Q0K3pva3IyZkZXZ2d1MjBhTU5QWkVoXC9QNk8wMVFkSTBoSzBBR2N3bm9UcFplaHFObFpNaFpvV0I4dSIsIml2IjoiZDgwODhmNzNlZWVlMGVjYjM1ZjU0ZjhmMTg2NjY2MGYiLCJzYWx0IjoiYjk5MTNhOGY2YzQzYmIxN2M1NGI1YzQ0YmRmYjExZDUifQ==,Trading Psychology Part 1,r33p99,"November 17, 2021","<div class=""elementor-widget-container"">
<p><strong>6:55 - GAINING CONFIDENCE</strong></p>
<ul>
<li>Come prepared, do your homework</li>
<li>Trading is a skill that you need to acquire</li>
<li>You need to acknowledge the possibility of losing a trade</li>
<li>Confidence comes from your TA, experience and taking trades</li>
<li>You need to become a profitable trader over an extended period of time</li>
<li>Be strict with your rules and flexible on your ideas</li>
<li>We do not control the market but we are in control of our own trades</li>
<li>Never change your calculated invalidation point - you need to know how much you are willing to lose before you enter the trade not after</li>
<li>Expect the unexpected</li>
<li>Every moment in the market is unique. Risk management is the best way to be prepared</li>
<li>You have zero control of either the next trade will be winning or losing trade</li>
</ul>
<p><strong>27:57 - HOW TO HANDLE LOSSES</strong></p>
<ul>
<li>Step back, bird’s eye view</li>
<li>Trading stop (10% rule) - you completely seize all trading activities, leave your trading place and stop trading for certain period of time</li>
<li>Understand why you are losing trades, JOURNAL everything</li>
<li>Heal, regroup, go again</li>
<li>Develop your own trading system - what works best for you</li>
</ul>
<p><strong>44:00 - Q&amp;A</strong></p>
<ul>
<li>Literally anyone can become a profitable trader. It takes time, patience and hard work</li>
<li>Everyone has their own timing</li>
</ul>
<p><strong>1:04:15 - TAKE HOME MESSAGE</strong></p>
</div>",a1c4536d5185d54967940d0dd17fde90
CONTENDERS 123 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/93d45317-ed6b-43ba-8c08-afbd44ce1d8d/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNmY4MGQ1YSIsImNpcGhlcnRleHQiOiJuc0xhQ0FNeXdQTVNIKzFUOHd3Z2ZNVmhzZ1BDdUNCemE1U3NURXVJSmRyaDcrWFNuUDN3Z3lES3Z3VDVhaW5UIiwiaXYiOiJmZmM1YjkyZGM4MTRiMDMwOWZmZDUyYTZlYjNlMDFhZSIsInNhbHQiOiI0NGMxNzkxZDEyY2I2YjE3NDJlMTFjYmIwN2UwY2I5NiJ9,"Trading Checklist Live
",r2don5,"November 10, 2021","<div class=""elementor-widget-container"">
<p><strong>6:20 - TRADING CHECKLIST - DOT</strong></p>
<ul>
<li>Technical analysis is very time consuming if you want to do it well - of course you do because money is on the line</li>
<li>When figuring out the trend environment, timeframe perspective is very important</li>
<li>It is good to trade the same coins because we can ‘get to know’ their characteristics, how they trade, we can build up statistics</li>
<li>Daniel places less emphasis on volume, delta and OI on HTF (especially on altcoins)</li>
<li>In general, he does not use order flow for trading altcoins</li>
<li>Daniel charts DOT/USDT on Binance because there is more data</li>
<li>He likes to check the volume (with fixed range tool) within the section an asset has been trading from the last high to the low</li>
<li>Regarding the trader checklist - the list applies to BTC and can be modified (shorter) for the altcoins</li>
<li>Price tends to fill the inefficiencies (SPs)</li>
<li>Daniel sees drops on assets he is bullish on as gifts</li>
<li>The longer the basing pattern the bigger the support and the move out can be very strong</li>
<li>Whatever moves down very fast can go up just as fast</li>
<li>You cannot trade without invalidation</li>
<li>On altcoins, obvious patterns do not fake-out that often (it happens a lot on BTC)</li>
<li>You always have to do TA on BTC first before trading an altcoin because BTC influences alts</li>
<li>You have to have confidence and stick to your plan</li>
</ul>
</div>",3b8be13f510a76ac37c6bb8d77a008e9
CONTENDERS 122 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/a69f67ab-77b3-4e96-8912-650b4c5165a2/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNzI3OTZkNyIsImNpcGhlcnRleHQiOiJlMjJlXC9QMFVTemZROWl5RStDMFZSc083VjNFbjFHRGo5UXFDRGVSS3Y4emx3djhVakl5UlV3cmtCYlNQdWlnViIsIml2IjoiNWU3MzA4NDY1N2QwYWI2YjRmNjM0YzU4ZGJlNWE0NDUiLCJzYWx0IjoiZTQ2NjJiYmRmZTM0NGE3YzUzNTE4NjI2ODllMmI2MTIifQ==,"Trading Checklist Part 2
",r20wth,"November 3, 2021","<div class=""elementor-widget-container"">
<p><strong>2:23 - TRADING CHECKLIST</strong></p>
<ul>
<li>As we know it is important to start with HTF</li>
<li>From HTF we gain directional bias on the HTF and recognize places we want to get involved to trade for high probability trades</li>
<li>At the HTF zone we must zoom out into a LTF (1H minus) chart to get an entry. Daniel likes 3-15 minute charts</li>
</ul>
<p><strong>5:03 - TRADING CHECKLIST QUESTIONS</strong></p>
<ul>
<li>Are we in a 4H uptrend or downtrend?</li>
<li>Are we close to any Daily/Weekly/Monthly levels or CC Fib levels?</li>
<li>Are we making an impulse wave from a previous nice base?</li>
<li>Where are the key Weekly levels? (VAH, VAL, POC, major S/R)</li>
<li>Where have we opened today in relation to the previous value area? (above/below/ inside)</li>
<li>Where is the market trying to go? Is it doing a good job?</li>
<li>Is the volume, delta and OI following the move (much easier to read and more reliable on the LTF for scalers)</li>
<li>Do we have any CVD divergences (on LTF)?</li>
<li>Do we see an entry that offer a good R:R ratio? Where is our 100% invalidation and target before we enter?</li>
<li>Once we entered we need to know where is the next level where price can potentially reverse (know prior to entering)?</li>
<li>Is there a location coming up where price can move very quickly (e.g. breaking through a triple top)?</li>
<li>Where can I potentially re-enter if stopped out, or compound my trade?</li>
<li>Always know of the next level of potential reversal</li>
<li>A trade location that can be taken in the opposite direction</li>
<li>Plan for if current idea/trade is invalidated/stopped out</li>
<li>In trading, you can be right on an overall idea and get stopped out - thus knowing in advance your trading plan is very important</li>
</ul>
<p><strong>29:49 - EXAMPLES (ALWAYS BE PREPARED)</strong></p>
<p><strong>47:38 - Q&amp;A</strong></p>
<ul>
<li>Daniel gives bullish CVD divergences in an uptrend the same weight as in a downtrend because he only looks at them at the level he wants to trade</li>
</ul>
<p><strong>1:03:58 - SUMMARY</strong></p>
</div>",8a05160b0e3a6f61506e92fad0073370
CONTENDERS 121 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/8e1b791b-5701-4893-8523-849fca0ebc09/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNzU3MjYzNiIsImNpcGhlcnRleHQiOiJ3V2dURGVMd3hIWmJLRER6eWR1YnhvTFZHMHhqMGc1MmdId0FQcFVvdDh2OWNJUXpCcG5Gb050dWtrM0VUUmRRIiwiaXYiOiJkZDc3MzVlNWFiMjI5ZDU4OTE4ZTQ3NDI3NWE5NTYxNSIsInNhbHQiOiJmNGY4ODRiYmY1M2ZkMTUyYWQxNTlkYjc1NzliM2ZlMCJ9,ATAS + EXOCHARTS PRO,r1nx0f,"October 27, 2021","<div class=""elementor-widget-container"">
<p><strong>0:58 - ATAS SET-UP</strong></p>
<ul>
<li>Igor goes through complete process of setting up an account, import and use the templates etc.</li>
<li>It is possible to connect Atas to Bybit account through API and trade directly from Atas</li>
</ul>
<p><strong>17:32 - ATAS TOOLS AND TIPS</strong></p>
<ul>
<li>Igor shows us how to use Atas to trade on multiple accounts</li>
<li>It is possible to make a strategy and apply it on altcoins (or BTC)</li>
<li>It is not possible to save clusters, delta, volume and CVD</li>
<li>TPO and profile tool is combined</li>
<li>There are many layouts</li>
<li>Workspace for all types of charts/templates</li>
<li>There is also DOM</li>
<li>Igor shows many examples on different templates</li>
</ul>
<p><strong>45:40 - EXOCHARTS PRO</strong></p>
<p><strong>46:37 - EXOCHARTS PRO SET-UP</strong></p>
<ul>
<li>Igor uses Exocharts PRO</li>
</ul>
<p><strong>47:10 - SESSIONS SET-UP</strong></p>
<p><strong>48:00 - EXOCHARTS TOOLS</strong></p>
<p><strong>55:55 - Q&amp;A</strong></p>
<p><strong>1:06:42 - SUMMARY</strong></p>
</div>",cfa98b347d8ab3365f74f588986d9c04
CONTENDERS 120 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/bc8d7a7d-5ca7-417f-9ddd-726f8b9fc4b4/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNzg2ZTA1NCIsImNpcGhlcnRleHQiOiI4Q0xJMDAzNHJPVzFRZkFIWktQYURzbkkwclBoUnJmNGF4ZFBKNDd2S1JYWVwvcDRQV1ZqTUV3VzNLY0dZZ08xdSIsIml2IjoiOTcxOWJjMmUyOTVlZDYyYWI0NmIxZWIyY2M4NmExMDAiLCJzYWx0IjoiMGFhMDVlMjYxNWY5MzYzODgxODI3Zjg0ODY4NDFmMzMifQ==,BTC ATH,r1axg6,"October 20, 2021","<div class=""elementor-widget-container"">
<p><strong>1:10 - BTC TA</strong></p>
<ul>
<li>Daniel takes a short each time price hits resistance at least as a hedge and then compounds it as the price goes lower</li>
<li>Always pay attention to the context</li>
<li>Best way to look for targets to the upside at ATHs is with Fibonacci and Pitchfork</li>
<li>Daniel uses Coinbase chart for more price history on BTC</li>
<li>It is always good to be aware of two scenarios</li>
<li>It is dangerous to short when price has good momentum</li>
<li>When momentum slows down, the safest option to short is a retest after the initial drop in price</li>
<li>Horizontal levels - Daily, Weekly and Monthly are very strong levels to trade</li>
</ul>
<p><strong>44:56 - Q&amp;A</strong></p>
<ul>
<li>Daniel does not pay much importance on the funding rates when price is going up, breaking ATHs, but when price forms a range and funding is still very high it becomes more important to him.</li>
<li>If there is a failed auction of ATH, the pullback is likely to be bigger</li>
<li>Daniel does not do EWs textbook way but he has his own style</li>
<li>Context is always important</li>
</ul>
</div>",14f9d298d10573f6e2d2b93a6efdebe3
CONTENDERS 119 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/8fb89300-f2ad-424f-b7c5-fa11fc6a5015/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhN2I2MmNkYSIsImNpcGhlcnRleHQiOiJcL1RTbEI5V2VXOVpIbTVSY1FsRTdtRll1czhjcUtQaU9iak5CVGd6NU5UZmNqRkhJdzRmRldHRFwvcTBocG5SRXUiLCJpdiI6IjBmZTkyNWUyMjM5YjJhM2FkMzE0ZDY4Njc1ODAzZTIzIiwic2FsdCI6IjU2Y2E0ODdlNTlkNGMxZDE1NzRlMjJmZGUwNTVmNThlIn0=,Igor's Daily Routine,r0yxj1,"October 13, 2021","<div class=""elementor-widget-container"">
<p><strong>0:57 - IGOR’S INTRODUCTION</strong></p>
<p><strong>8:28 - DAILY ROUTINE AND A JOURNAL</strong></p>
<ul>
<li>It all starts with this</li>
<li>When you don’t have a plan, you will fail</li>
</ul>
<p><strong>9:02 - WHY HAVE A DAILY ROUTINE</strong></p>
<ul>
<li>Daily routine helps you determine important levels and keeps you relaxed as you wait for the level to be hit</li>
<li>Most of the time Igor fills his journal even before entering a trade. He knows his R:R</li>
</ul>
<p><strong>10:52 - WHERE DO I START WITH MY DAILY ROUTINE</strong></p>
<ul>
<li>Igor’s best indicator is price (open, close, high, low). He marks pDay, pWeek and pMonth levels</li>
<li>He marks HTF levels (Monthly, Weekly, Daily, S/R levels)</li>
<li>HTF &amp; local Fibs, OBs</li>
<li>Daily and weekly OBs are good for short term and long-term trades</li>
<li>He finds an area where there are likely to be buy/sell stop losses (liquidity)</li>
<li>Igor loves SPs. He marks Daily SPs and session SPs on a 5-minute TF</li>
<li>SPs are magnets to PA and also a bias (price goes from one to another area)</li>
<li>NPOC</li>
</ul>
<p><strong>23:10 - CHARTS</strong></p>
<ul>
<li>Igor shows how he marks levels on his chart and shows how he gets values in TV, Atas and Exocharts</li>
</ul>
<p><strong>39:50 - Q&amp;A</strong></p>
<ul>
<li>Igor uses 5-minut chart for SP’s because they are the most respected on LTF - great for scalping and even when looking for a swing trade they give sniper entries</li>
<li>Igor sometimes uses body for OB and sometimes also wicks</li>
<li>Time is extremely important along with other technical confluences</li>
</ul>
<p><strong>54:25 - SUMMARY</strong></p>
</div>",c8fa858264945ba1510ee5faededdfa9
CONTENDERS 118 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/5d9cdd2e-73dc-4bc3-93b2-5f2c51185982/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhN2U2MWQ0YyIsImNpcGhlcnRleHQiOiJqcjFMSU4zYk5rN1puOUNvdjEzNUZcL2h1bXNlTTd3NGhVaTlsbTlkeVVTeVQ5WFY2SzF5TENVMUd1Zk1BVGhZViIsIml2IjoiMjcyNTQ4NmJlNWMwY2ZmOWI3NjliNzZiNDhlMDA2OTkiLCJzYWx0IjoiZjU2OTAwMzI3ZDFmOTBiMWM1OTg1YWNlNmQ5NjY5NjcifQ==,"Trading Checklist Part 1
",r0l314,"October 6, 2021","<div class=""elementor-widget-container"">
<p><strong>6:26 - TRADING CHECKLIST</strong></p>
<ul>
<li>A version two - more in-depth</li>
<li>It is very helpful to make sure you are following a strict plan</li>
<li>We have checklists for swing and scalp trading (though even when scalp trading, Daniel would always do HTF analysis first)</li>
<li>We must start on the HTF and work our way down, starting on Monthly or Weekly chart</li>
</ul>
<p><strong>9:00 - TRADING CHECKLIST QUESTIONS</strong></p>
<ul>
<li>What is the current Weekly trend?</li>
<li>How close is price to the last Weekly and Monthly levels of S/R?</li>
<li>Are we looking to trade a trend or a range on the HTF?</li>
<li>If in a trend are the Volume, Delta and Open interest following?</li>
<li>With BTC this is not always the case, context is very important</li>
<li>If in a range where price is in respect of VAL, POC and VAH</li>
<li>When price is in a trend but there is old prior range that was going for a few months, we should work out that range’s VAL, VAH and</li>
<li>POC to be aware of levels</li>
<li>Have we recently seen a larger OI increase with a reversal (with CVD divergences even better) to show trapped traders?</li>
<li>Where is the market trying to go? Is it doing a good job of getting there?</li>
<li>Are there any harmonics patterns on the HTF visible?</li>
<li>What is the general sentiment of the public/retail? Are there any obvious patterns everyone is trading?</li>
<li>Which side is currently in control?</li>
<li>Where is the next high probability swing trade?</li>
<li>After finding the location for the highest probability trade we go to the LTF (4H minus) to find our entry triggers (after doing HTF analysis)</li>
<li>Daniel is very good at sticking to his plans once in the trade</li>
<li>Don’t get thrown off by noise. Make a plan, trade the plan</li>
</ul>
<p><strong>35:35 - TRADING CHECKLIST PLAN</strong></p>
<ul>
<li>When swing trading Daniel places a lot of emphasis on what will destroy the majority of traders</li>
<li>Daniel places as much weight to psychology as to the TA</li>
<li>A lot of ‘gut feeling / intuition’ for how he will approach his swing trades then using the TA for his entry triggers</li>
</ul>
<p><strong>45:00 - IGOR’S INTRODUCTION</strong></p>
<p><strong>54:52 - Q&amp;A</strong></p>
<ul>
<li>Daniel knows if there is a harmonic on the chart within ten seconds (it comes with experience</li>
<li>You can look for trapped longs using delta and OI (plus CVD divergences)</li>
</ul>
<p><strong>1:23:40 - SUMMARY</strong></p>
</div>",61b2b4fdb21c9ce84d5f9202ed2c0589
CONTENDERS 117 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/023a19c7-0a0a-4c71-8963-bf0c1872900c/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhODE1YmNiMiIsImNpcGhlcnRleHQiOiJCeVQzS3Y2VDV5a2loYUZrbFB2QzFnTG9xSGhSM0pNYnVlNE1kOG5cL1ROYWpQZzV3amdPKzFxZkVnTW56SjFaRiIsIml2IjoiY2RjNTNiMmI3OTc0YzIxZmQxNDQ4ODhiNmI3ZmUyMWEiLCJzYWx0IjoiMTI0YWQ1ZjgwNjg2YmQxMDQwMWJkMTliMzUzY2UwYmQifQ==,Live Analysis,r07ybl,"September 29, 2021","<div class=""elementor-widget-container"">
<p><strong>2:18 - BTC TA</strong></p>
<ul>
<li>Daniel does not pre-set orders even for swing trades - setting an alert and seeing the reaction before entering (if) massively increases the win-rate</li>
<li>Swing trading takes patience</li>
<li>If your set-up does not come (invalidation), you look for a new potential set-up</li>
<li>MS is always the king</li>
<li>Weak rally is a short opportunity</li>
<li>You have to be aware of various levels of resistance such as POC - price can front-run the CC</li>
<li>For scalp trading it is very</li>
<li>Downtrend on a lot of new shorts opening is very bearish</li>
<li>Wherever the origin of the shorts opens, it is a good place to reload</li>
<li>In trading, you have to be good on knowing where you are wrong and where you are right</li>
<li>Always keep in mind that market can reverse at any time and point which is why risk management is crucial</li>
<li>When big support is tested again, you should look for a SFP</li>
<li>Plan the trade, trade the plan</li>
<li>You always have to be in control in this market and take only high probability trades</li>
<li>Daniel is aggressive on scalping only</li>
</ul>
<p><strong>41:12 - Q&amp;A</strong></p>
<ul>
<li>Generally speaking, Daniel prefers to see ETH/BTC at the support before entering a long on the altcoin - it is not a requirement but a good factor to see</li>
<li>You have to be very patient with altcoins, be aware of fakeouts and trade level-to-level</li>
<li>With CVD divergences, you also have to be aware of context - they could be leading</li>
<li>Intuition and reading the market comes with experience</li>
<li>On SFP invalidation is always the low/the high</li>
<li>Confidence comes from when you know where you are wrong and where you are right</li>
<li>On a swing trade TP 1 can be very quick and small</li>
</ul>
</div>",f6c2fe68a8e850db77f647a1a003300f
CONTENDERS 116 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/074599ed-860d-4eb3-9d76-c18dad295dba/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhODQ1MDVhZSIsImNpcGhlcnRleHQiOiJcL3d2dEVNbFdPQ2tVZW5sSE1rNU1wYjF6K0YzRkRCN2hMZDFMaUd6a0F3YW1rTzl1WjlFZzRNY2xlRkIxSjhvMiIsIml2IjoiNmI5NjRlNzIyY2I2OTI2MGE3YjY3OTM3MjUxMzJlOTAiLCJzYWx0IjoiYmM5OGQ1M2EyNzc2ZTRkODg3MjJjYzhmMTY1MzlhZGIifQ==,"Live Analysis
",qzy486,"September 22, 2021","<div class=""elementor-widget-container"">
<p>A very special stream with very special guests</p>
<p><strong>2:25 - BTC TA</strong></p>
<ul>
<li>Double weekly POC is a very strong level</li>
<li>It is important to do your TA and then be patient and wait for the level you are want to trade</li>
<li>When swing trading it is best to take the trade, take profit, put SL and then let the trade run. If SL is hit, you find a new trade set-up</li>
<li>It is not important to know where price goes next to make money, but to know the levels you want to trade</li>
<li>It is a continuous game of probabilities</li>
<li>You don’t have to time the high but you can wait for the change of MS for safer entry and easier invalidation</li>
</ul>
<p><strong>26:30 - SOL TA</strong></p>
<ul>
<li>With good risk management, you can take a few small losses in a row but then when the winner comes, it is much bigger than those losses</li>
<li>It is only important you trade high probabilities</li>
<li>Taking profits is important</li>
</ul>
<p><strong>33:45 - BTC TA</strong></p>
<ul>
<li>When there is a confluence with the level you want to trade, day and time it gives nice confluence</li>
</ul>
<p><strong>35:53 - Q&amp;A</strong></p>
<ul>
<li>Sometimes you have to wait for the data to make an informed decision</li>
<li>A lot of Daniel’s analysis is based of his gut feeling</li>
<li>Reading the context of the market is important</li>
<li>Exocharts is not needed for swing trading but for scalping</li>
</ul>
</div>",7f3f72b6ccbe1776a1de934f39920336
